gender,Aimag,TIME,value
MALE,Central region,1998,
MALE,Central region,1997,
MALE,Central region,1996,
MALE,Central region,1995,
MALE,   Dornogovi,2024,2495.2
MALE,   Dornogovi,2023,2010.5
MALE,   Dornogovi,2022,1560.9
MALE,   Dornogovi,2021,1360.2
MALE,   Dornogovi,2020,1253.2
MALE,   Dornogovi,2019,1129.5
MALE,   Dornogovi,2018,1010.0
MALE,   Dornogovi,2017,933.9
MALE,   Dornogovi,2016,854.3
MALE,   Dornogovi,2015,820.8
MALE,   Dornogovi,2014,812.8
MALE,   Dornogovi,2013,669.9
MALE,   Dornogovi,2012,488.4
MALE,   Dornogovi,2011,355.9
MALE,   Dornogovi,2010,310.0
MALE,   Dornogovi,2009,285.1
MALE,   Dornogovi,2008,250.8
MALE,   Dornogovi,2007,144.5
MALE,   Dornogovi,2006,120.2
MALE,   Dornogovi,2005,89.2
MALE,   Dornogovi,2004,75.6
MALE,   Dornogovi,2003,66.3
MALE,   Dornogovi,2002,53.4
MALE,   Dornogovi,2001,61.4
MALE,   Dornogovi,2000,39.1
MALE,   Dornogovi,1999,
MALE,   Dornogovi,1998,
MALE,   Dornogovi,1997,
MALE,   Dornogovi,1996,
MALE,   Dornogovi,1995,
MALE,   Dundgovi,2024,1981.5
MALE,   Dundgovi,2023,1393.4
MALE,   Dundgovi,2022,1057.1
MALE,   Dundgovi,2021,944.1
MALE,   Dundgovi,2020,895.4
MALE,   Dundgovi,2019,783.2
MALE,   Dundgovi,2018,649.2
MALE,   Dundgovi,2017,646.2
MALE,   Dundgovi,2016,634.6
MALE,   Dundgovi,2015,609.0
MALE,   Dundgovi,2014,578.8
MALE,   Dundgovi,2013,645.4
MALE,   Dundgovi,2012,473.3
MALE,   Dundgovi,2011,334.5
MALE,   Dundgovi,2010,280.6
MALE,   Dundgovi,2009,255.7
MALE,   Dundgovi,2008,249.6
MALE,   Dundgovi,2007,146.6
MALE,   Dundgovi,2006,107.6
MALE,   Dundgovi,2005,88.4
MALE,   Dundgovi,2004,77.9
MALE,   Dundgovi,2003,66.3
MALE,   Dundgovi,2002,60.2
MALE,   Dundgovi,2001,56.3
MALE,   Dundgovi,2000,49.0
MALE,   Dundgovi,1999,
MALE,   Dundgovi,1998,
MALE,   Dundgovi,1997,
MALE,   Dundgovi,1996,
MALE,   Dundgovi,1995,
MALE,   Umnugovi,2024,3111.3
MALE,   Umnugovi,2023,2699.6
MALE,   Umnugovi,2022,2024.8
MALE,   Umnugovi,2021,1380.6
MALE,   Umnugovi,2020,1382.1
MALE,   Umnugovi,2019,1238.3
MALE,   Umnugovi,2018,1071.4
MALE,   Umnugovi,2017,967.1
MALE,   Umnugovi,2016,826.6
MALE,   Umnugovi,2015,927.1
MALE,   Umnugovi,2014,912.6
MALE,   Umnugovi,2013,1206.2
MALE,   Umnugovi,2012,633.5
MALE,   Umnugovi,2011,623.4
MALE,   Umnugovi,2010,421.2
MALE,   Umnugovi,2009,322.2
MALE,   Umnugovi,2008,299.1
MALE,   Umnugovi,2007,211.2
MALE,   Umnugovi,2006,140.1
MALE,   Umnugovi,2005,105.1
MALE,   Umnugovi,2004,97.1
MALE,   Umnugovi,2003,86.8
MALE,   Umnugovi,2002,67.4
MALE,   Umnugovi,2001,67.9
MALE,   Umnugovi,2000,64.0
MALE,   Umnugovi,1999,
MALE,   Umnugovi,1998,
MALE,   Umnugovi,1997,
MALE,   Umnugovi,1996,
MALE,   Umnugovi,1995,
MALE,   Selenge,2024,2408.9
MALE,   Selenge,2023,1802.2
MALE,   Selenge,2022,1468.4
MALE,   Selenge,2021,1244.6
MALE,   Selenge,2020,1115.6
MALE,   Selenge,2019,1001.2
MALE,   Selenge,2018,857.5
MALE,   Selenge,2017,746.2
MALE,   Selenge,2016,686.2
MALE,   Selenge,2015,679.7
MALE,   Selenge,2014,654.4
MALE,   Selenge,2013,662.0
MALE,   Selenge,2012,517.8
MALE,   Selenge,2011,443.4
MALE,   Selenge,2010,306.3
MALE,   Selenge,2009,288.2
MALE,   Selenge,2008,294.6
MALE,   Selenge,2007,175.3
MALE,   Selenge,2006,139.0
MALE,   Selenge,2005,112.4
MALE,   Selenge,2004,83.9
MALE,   Selenge,2003,76.0
MALE,   Selenge,2002,66.4
MALE,   Selenge,2001,61.4
MALE,   Selenge,2000,61.9
MALE,   Selenge,1999,
MALE,   Selenge,1998,
MALE,   Selenge,1997,
MALE,   Selenge,1996,
MALE,   Selenge,1995,
MALE,   Tuv,2024,1985.7
MALE,   Tuv,2023,1533.5
MALE,   Tuv,2022,1146.6
MALE,   Tuv,2021,997.0
MALE,   Tuv,2020,937.9
MALE,   Tuv,2019,770.8
MALE,   Tuv,2018,673.4
MALE,   Tuv,2017,654.1
MALE,   Tuv,2016,609.9
MALE,   Tuv,2015,577.0
MALE,   Tuv,2014,562.0
MALE,   Tuv,2013,549.2
MALE,   Tuv,2012,461.3
MALE,   Tuv,2011,321.7
MALE,   Tuv,2010,275.6
MALE,   Tuv,2009,249.1
MALE,   Tuv,2008,236.6
MALE,   Tuv,2007,141.8
MALE,   Tuv,2006,92.7
MALE,   Tuv,2005,71.7
MALE,   Tuv,2004,77.2
MALE,   Tuv,2003,78.4
MALE,   Tuv,2002,70.6
MALE,   Tuv,2001,59.9
MALE,   Tuv,2000,51.6
MALE,   Tuv,1999,
MALE,   Tuv,1998,
MALE,   Tuv,1997,
MALE,   Tuv,1996,
MALE,   Tuv,1995,
MALE,   Darkhan-Uul,2024,2403.2
MALE,   Darkhan-Uul,2023,1887.9
MALE,   Darkhan-Uul,2022,1454.3
MALE,   Darkhan-Uul,2021,1281.4
MALE,   Darkhan-Uul,2020,1200.8
MALE,   Darkhan-Uul,2019,1077.8
MALE,   Darkhan-Uul,2018,948.6
MALE,   Darkhan-Uul,2017,902.2
MALE,   Darkhan-Uul,2016,808.6
MALE,   Darkhan-Uul,2015,761.2
MALE,   Darkhan-Uul,2014,798.8
MALE,   Darkhan-Uul,2013,713.0
MALE,   Darkhan-Uul,2012,663.1
MALE,   Darkhan-Uul,2011,548.0
MALE,   Darkhan-Uul,2010,464.7
MALE,   Darkhan-Uul,2009,331.5
MALE,   Darkhan-Uul,2008,347.9
MALE,   Darkhan-Uul,2007,220.0
MALE,   Darkhan-Uul,2006,174.6
MALE,   Darkhan-Uul,2005,142.2
MALE,   Darkhan-Uul,2004,144.0
MALE,   Darkhan-Uul,2003,110.9
MALE,   Darkhan-Uul,2002,94.5
MALE,   Darkhan-Uul,2001,79.8
MALE,   Darkhan-Uul,2000,74.0
MALE,   Darkhan-Uul,1999,
MALE,   Darkhan-Uul,1998,
MALE,   Darkhan-Uul,1997,
MALE,   Darkhan-Uul,1996,
MALE,   Darkhan-Uul,1995,
MALE,   Govisumber,2024,2642.1
MALE,   Govisumber,2023,2114.0
MALE,   Govisumber,2022,1699.1
MALE,   Govisumber,2021,1424.3
MALE,   Govisumber,2020,1316.8
MALE,   Govisumber,2019,1183.4
MALE,   Govisumber,2018,1038.9
MALE,   Govisumber,2017,988.3
MALE,   Govisumber,2016,886.9
MALE,   Govisumber,2015,834.8
MALE,   Govisumber,2014,822.4
MALE,   Govisumber,2013,853.3
MALE,   Govisumber,2012,795.2
MALE,   Govisumber,2011,664.9
MALE,   Govisumber,2010,604.8
MALE,   Govisumber,2009,454.8
MALE,   Govisumber,2008,400.9
MALE,   Govisumber,2007,252.2
MALE,   Govisumber,2006,211.6
MALE,   Govisumber,2005,165.9
MALE,   Govisumber,2004,132.5
MALE,   Govisumber,2003,117.6
MALE,   Govisumber,2002,93.5
MALE,   Govisumber,2001,76.3
MALE,   Govisumber,2000,77.5
MALE,   Govisumber,1999,
MALE,   Govisumber,1998,
MALE,   Govisumber,1997,
MALE,   Govisumber,1996,
MALE,   Govisumber,1995,
MALE,Eastern region,2024,2194.3
MALE,Eastern region,2023,1715.8
MALE,Eastern region,2022,1244.3
MALE,Eastern region,2021,1103.7
MALE,Eastern region,2020,1048.5
MALE,Eastern region,2019,899.5
MALE,Eastern region,2018,778.5
MALE,Eastern region,2017,737.2
MALE,Eastern region,2016,679.4
MALE,Eastern region,2015,647.8
MALE,Eastern region,2014,615.7
MALE,Eastern region,2013,652.5
MALE,Eastern region,2012,504.3
MALE,Eastern region,2011,385.5
MALE,Eastern region,2010,317.4
MALE,Eastern region,2009,287.3
MALE,Eastern region,2008,267.6
MALE,Eastern region,2007,172.5
MALE,Eastern region,2006,119.0
MALE,Eastern region,2005,93.8
MALE,Eastern region,2004,81.0
MALE,Eastern region,2003,71.6
MALE,Eastern region,2002,60.8
MALE,Eastern region,2001,56.7
MALE,Eastern region,2000,49.3
MALE,Eastern region,1999,
MALE,Eastern region,1998,
MALE,Eastern region,1997,
MALE,Eastern region,1996,
MALE,Eastern region,1995,
MALE,   Dornod,2024,2215.3
MALE,   Dornod,2023,1817.7
MALE,   Dornod,2022,1271.4
MALE,   Dornod,2021,1125.9
MALE,   Dornod,2020,1064.5
MALE,   Dornod,2019,931.7
MALE,   Dornod,2018,836.3
MALE,   Dornod,2017,811.5
MALE,   Dornod,2016,724.3
MALE,   Dornod,2015,700.5
MALE,   Dornod,2014,646.8
MALE,   Dornod,2013,662.6
MALE,   Dornod,2012,615.7
MALE,   Dornod,2011,460.6
MALE,   Dornod,2010,360.9
MALE,   Dornod,2009,322.1
MALE,   Dornod,2008,294.7
MALE,   Dornod,2007,179.0
MALE,   Dornod,2006,132.8
MALE,   Dornod,2005,102.5
MALE,   Dornod,2004,79.8
MALE,   Dornod,2003,70.1
MALE,   Dornod,2002,60.7
MALE,   Dornod,2001,54.1
MALE,   Dornod,2000,45.9
MALE,   Dornod,1999,
MALE,   Dornod,1998,
MALE,   Dornod,1997,
MALE,   Dornod,1996,
MALE,   Dornod,1995,
MALE,   Sukhbaatar,2024,2030.9
MALE,   Sukhbaatar,2023,1488.6
MALE,   Sukhbaatar,2022,1119.2
MALE,   Sukhbaatar,2021,980.1
MALE,   Sukhbaatar,2020,941.8
MALE,   Sukhbaatar,2019,826.8
MALE,   Sukhbaatar,2018,724.7
MALE,   Sukhbaatar,2017,688.1
MALE,   Sukhbaatar,2016,650.2
MALE,   Sukhbaatar,2015,610.1
MALE,   Sukhbaatar,2014,576.4
MALE,   Sukhbaatar,2013,660.7
MALE,   Sukhbaatar,2012,426.2
MALE,   Sukhbaatar,2011,335.3
MALE,   Sukhbaatar,2010,283.0
MALE,   Sukhbaatar,2009,284.1
MALE,   Sukhbaatar,2008,271.2
MALE,   Sukhbaatar,2007,200.7
MALE,   Sukhbaatar,2006,116.3
MALE,   Sukhbaatar,2005,87.2
MALE,   Sukhbaatar,2004,86.8
MALE,   Sukhbaatar,2003,72.2
MALE,   Sukhbaatar,2002,62.9
MALE,   Sukhbaatar,2001,63.2
MALE,   Sukhbaatar,2000,62.0
MALE,   Sukhbaatar,1999,
MALE,   Sukhbaatar,1998,
MALE,   Sukhbaatar,1997,
MALE,   Sukhbaatar,1996,
MALE,   Sukhbaatar,1995,
MALE,   Khentii,2024,2297.5
MALE,   Khentii,2023,1762.9
MALE,   Khentii,2022,1300.7
MALE,   Khentii,2021,1165.9
MALE,   Khentii,2020,1105.4
MALE,   Khentii,2019,914.7
MALE,   Khentii,2018,746.8
MALE,   Khentii,2017,681.6
MALE,   Khentii,2016,645.6
MALE,   Khentii,2015,615.4
MALE,   Khentii,2014,611.5
MALE,   Khentii,2013,626.2
MALE,   Khentii,2012,368.6
MALE,   Khentii,2011,292.8
MALE,   Khentii,2010,226.6
MALE,   Khentii,2009,198.1
MALE,   Khentii,2008,191.7
MALE,   Khentii,2007,123.1
MALE,   Khentii,2006,96.2
MALE,   Khentii,2005,84.6
MALE,   Khentii,2004,76.4
MALE,   Khentii,2003,68.8
MALE,   Khentii,2002,58.0
MALE,   Khentii,2001,53.9
MALE,   Khentii,2000,42.3
MALE,   Khentii,1999,
MALE,   Khentii,1998,
MALE,   Khentii,1997,
MALE,   Khentii,1996,
MALE,   Khentii,1995,
MALE,Ulaanbaatar,2024,2650.5
MALE,Ulaanbaatar,2023,2196.4
MALE,Ulaanbaatar,2022,1742.3
MALE,Ulaanbaatar,2021,1486.2
MALE,Ulaanbaatar,2020,1419.6
MALE,Ulaanbaatar,2019,1329.1
MALE,Ulaanbaatar,2018,1217.2
MALE,Ulaanbaatar,2017,1152.3
MALE,Ulaanbaatar,2016,1002.0
MALE,Ulaanbaatar,2015,922.4
MALE,Ulaanbaatar,2014,931.8
MALE,Ulaanbaatar,2013,924.0
MALE,Ulaanbaatar,2012,655.7
MALE,Ulaanbaatar,2011,532.1
MALE,Ulaanbaatar,2010,413.2
MALE,Ulaanbaatar,2009,368.2
MALE,Ulaanbaatar,2008,299.4
MALE,Ulaanbaatar,2007,204.5
MALE,Ulaanbaatar,2006,148.5
MALE,Ulaanbaatar,2005,112.2
MALE,Ulaanbaatar,2004,98.0
MALE,Ulaanbaatar,2003,95.3
MALE,Ulaanbaatar,2002,89.3
MALE,Ulaanbaatar,2001,83.0
MALE,Ulaanbaatar,2000,73.6
MALE,Ulaanbaatar,1999,
MALE,Ulaanbaatar,1998,
MALE,Ulaanbaatar,1997,
MALE,Ulaanbaatar,1996,
MALE,Ulaanbaatar,1995,
MALE,   Ulaanbaatar,2024,2650.5
MALE,   Ulaanbaatar,2023,2196.4
MALE,   Ulaanbaatar,2022,1742.3
MALE,   Ulaanbaatar,2021,1486.2
MALE,   Ulaanbaatar,2020,1419.6
MALE,   Ulaanbaatar,2019,1329.1
MALE,   Ulaanbaatar,2018,1217.2
MALE,   Ulaanbaatar,2017,1152.3
MALE,   Ulaanbaatar,2016,1002.0
MALE,   Ulaanbaatar,2015,922.4
MALE,   Ulaanbaatar,2014,931.8
MALE,   Ulaanbaatar,2013,924.0
MALE,   Ulaanbaatar,2012,655.7
MALE,   Ulaanbaatar,2011,532.1
MALE,   Ulaanbaatar,2010,413.2
MALE,   Ulaanbaatar,2009,368.2
MALE,   Ulaanbaatar,2008,299.4
MALE,   Ulaanbaatar,2007,204.5
MALE,   Ulaanbaatar,2006,148.5
MALE,   Ulaanbaatar,2005,112.2
MALE,   Ulaanbaatar,2004,98.0
MALE,   Ulaanbaatar,2003,95.3
MALE,   Ulaanbaatar,2002,89.3
MALE,   Ulaanbaatar,2001,83.0
MALE,   Ulaanbaatar,2000,73.6
MALE,   Ulaanbaatar,1999,
MALE,   Ulaanbaatar,1998,
MALE,   Ulaanbaatar,1997,
MALE,   Ulaanbaatar,1996,
MALE,   Ulaanbaatar,1995,
