Type of livestock,Region,Year,value
Sheep,    Central region,1978,1124.1
Sheep,    Central region,1977,1022.8
Sheep,    Central region,1976,1122.0
Sheep,    Central region,1975,1284.3
Sheep,    Central region,1974,1297.5
Sheep,    Central region,1973,1180.7
Sheep,    Central region,1972,1117.9
Sheep,    Central region,1971,1055.9
Sheep,    Central region,1970,1061.5
Sheep,            Darkhan-Uul,2024,100.6
Sheep,            Darkhan-Uul,2023,112.2
Sheep,            Darkhan-Uul,2022,140.6
Sheep,            Darkhan-Uul,2021,163.8
Sheep,            Darkhan-Uul,2020,161.8
Sheep,            Darkhan-Uul,2019,162.3
Sheep,            Darkhan-Uul,2018,147.1
Sheep,            Darkhan-Uul,2017,150.8
Sheep,            Darkhan-Uul,2016,162.2
Sheep,            Darkhan-Uul,2015,143.6
Sheep,            Darkhan-Uul,2014,167.6
Sheep,            Darkhan-Uul,2013,144.9
Sheep,            Darkhan-Uul,2012,136.0
Sheep,            Darkhan-Uul,2011,125.0
Sheep,            Darkhan-Uul,2010,127.6
Sheep,            Darkhan-Uul,2009,176.5
Sheep,            Darkhan-Uul,2008,163.0
Sheep,            Darkhan-Uul,2007,102.2
Sheep,            Darkhan-Uul,2006,82.7
Sheep,            Darkhan-Uul,2005,65.4
Sheep,            Darkhan-Uul,2004,57.1
Sheep,            Darkhan-Uul,2003,55.8
Sheep,            Darkhan-Uul,2002,77.1
Sheep,            Darkhan-Uul,2001,84.7
Sheep,            Darkhan-Uul,2000,96.5
Sheep,            Darkhan-Uul,1999,90.0
Sheep,            Darkhan-Uul,1998,84.3
Sheep,            Darkhan-Uul,1997,72.3
Sheep,            Darkhan-Uul,1996,71.0
Sheep,            Darkhan-Uul,1995,74.0
Sheep,            Darkhan-Uul,1994,81.0
Sheep,            Darkhan-Uul,1993,78.5
Sheep,            Darkhan-Uul,1992,90.3
Sheep,            Darkhan-Uul,1991,89.9
Sheep,            Darkhan-Uul,1990,72.8
Sheep,            Darkhan-Uul,1989,50.8
Sheep,            Darkhan-Uul,1988,42.7
Sheep,            Darkhan-Uul,1987,36.2
Sheep,            Darkhan-Uul,1986,40.9
Sheep,            Darkhan-Uul,1985,40.9
Sheep,            Darkhan-Uul,1984,41.0
Sheep,            Darkhan-Uul,1983,38.2
Sheep,            Darkhan-Uul,1982,33.0
Sheep,            Darkhan-Uul,1981,14.0
Sheep,            Darkhan-Uul,1980,12.2
Sheep,            Darkhan-Uul,1979,0.9
Sheep,            Darkhan-Uul,1978,8.6
Sheep,            Darkhan-Uul,1977,7.2
Sheep,            Darkhan-Uul,1976,5.9
Sheep,            Darkhan-Uul,1975,5.6
Sheep,            Darkhan-Uul,1974,5.3
Sheep,            Darkhan-Uul,1973,0.6
Sheep,            Darkhan-Uul,1972,2.5
Sheep,            Darkhan-Uul,1971,2.5
Sheep,            Darkhan-Uul,1970,0.3
Sheep,            Selenge,2024,683.4
Sheep,            Selenge,2023,787.9
Sheep,            Selenge,2022,857.4
Sheep,            Selenge,2021,849.7
Sheep,            Selenge,2020,783.4
Sheep,            Selenge,2019,744.7
Sheep,            Selenge,2018,705.9
Sheep,            Selenge,2017,699.3
Sheep,            Selenge,2016,749.3
Sheep,            Selenge,2015,686.9
Sheep,            Selenge,2014,698.9
Sheep,            Selenge,2013,624.2
Sheep,            Selenge,2012,612.1
Sheep,            Selenge,2011,581.7
Sheep,            Selenge,2010,612.2
Sheep,            Selenge,2009,732.1
Sheep,            Selenge,2008,651.7
Sheep,            Selenge,2007,453.5
Sheep,            Selenge,2006,339.9
Sheep,            Selenge,2005,277.6
Sheep,            Selenge,2004,253.6
Sheep,            Selenge,2003,266.2
Sheep,            Selenge,2002,316.7
Sheep,            Selenge,2001,314.4
Sheep,            Selenge,2000,333.5
Sheep,            Selenge,1999,327.9
Sheep,            Selenge,1998,302.5
Sheep,            Selenge,1997,288.8
Sheep,            Selenge,1996,284.5
Sheep,            Selenge,1995,295.1
Sheep,            Selenge,1994,305.1
Sheep,            Selenge,1993,290.0
Sheep,            Selenge,1992,312.3
Sheep,            Selenge,1991,333.8
Sheep,            Selenge,1990,351.3
Sheep,            Selenge,1989,332.3
Sheep,            Selenge,1988,316.6
Sheep,            Selenge,1987,301.4
Sheep,            Selenge,1986,291.8
Sheep,            Selenge,1985,289.8
Sheep,            Selenge,1984,304.7
Sheep,            Selenge,1983,306.6
Sheep,            Selenge,1982,289.7
Sheep,            Selenge,1981,306.7
Sheep,            Selenge,1980,287.8
Sheep,            Selenge,1979,322.3
Sheep,            Selenge,1978,328.5
Sheep,            Selenge,1977,303.4
Sheep,            Selenge,1976,290.0
Sheep,            Selenge,1975,321.7
Sheep,            Selenge,1974,317.4
Sheep,            Selenge,1973,298.0
Sheep,            Selenge,1972,275.4
Sheep,            Selenge,1971,252.8
Sheep,            Selenge,1970,251.3
Sheep,            Tuv,2024,2070.4
Sheep,            Tuv,2023,2642.7
Sheep,            Tuv,2022,2727.4
Sheep,            Tuv,2021,2535.5
Sheep,            Tuv,2020,2540.3
Sheep,            Tuv,2019,2619.8
Sheep,            Tuv,2018,2449.3
Sheep,            Tuv,2017,2461.1
Sheep,            Tuv,2016,2442.4
Sheep,            Tuv,2015,2271.2
Sheep,            Tuv,2014,2125.7
Sheep,            Tuv,2013,1815.9
Sheep,            Tuv,2012,1633.7
Sheep,            Tuv,2011,1462.3
Sheep,            Tuv,2010,1358.7
Sheep,            Tuv,2009,1714.5
Sheep,            Tuv,2008,1449.8
Sheep,            Tuv,2007,1249.3
Sheep,            Tuv,2006,1040.8
Sheep,            Tuv,2005,855.7
Sheep,            Tuv,2004,744.8
Sheep,            Tuv,2003,724.8
Sheep,            Tuv,2002,806.8
Sheep,            Tuv,2001,894.6
Sheep,            Tuv,2000,1101.2
Sheep,            Tuv,1999,1175.1
Sheep,            Tuv,1998,1172.6
Sheep,            Tuv,1997,1094.8
Sheep,            Tuv,1996,1020.3
Sheep,            Tuv,1995,1004.2
Sheep,            Tuv,1994,982.6
Sheep,            Tuv,1993,1011.9
Sheep,            Tuv,1992,1086.7
Sheep,            Tuv,1991,1061.7
Sheep,            Tuv,1990,1116.4
Sheep,            Tuv,1989,1025.8
Sheep,            Tuv,1988,948.2
Sheep,            Tuv,1987,913.3
Sheep,            Tuv,1986,897.4
Sheep,            Tuv,1985,887.7
Sheep,            Tuv,1984,898.2
Sheep,            Tuv,1983,939.6
Sheep,            Tuv,1982,939.1
Sheep,            Tuv,1981,877.3
Sheep,            Tuv,1980,837.8
Sheep,            Tuv,1979,826.1
Sheep,            Tuv,1978,787.0
Sheep,            Tuv,1977,712.2
Sheep,            Tuv,1976,826.1
Sheep,            Tuv,1975,957.0
Sheep,            Tuv,1974,974.8
Sheep,            Tuv,1973,882.0
Sheep,            Tuv,1972,840.0
Sheep,            Tuv,1971,800.6
Sheep,            Tuv,1970,810.0
Sheep,    Eastern region,2024,3568.4
Sheep,    Eastern region,2023,5801.2
Sheep,    Eastern region,2022,6636.2
Sheep,    Eastern region,2021,6195.7
Sheep,    Eastern region,2020,5641.7
Sheep,    Eastern region,2019,5688.5
Sheep,    Eastern region,2018,5423.3
Sheep,    Eastern region,2017,5029.3
Sheep,    Eastern region,2016,4311.7
Sheep,    Eastern region,2015,3995.8
Sheep,    Eastern region,2014,3653.4
Sheep,    Eastern region,2013,3218.4
Sheep,    Eastern region,2012,2953.4
Sheep,    Eastern region,2011,2693.9
Sheep,    Eastern region,2010,2580.3
Sheep,    Eastern region,2009,2643.5
Sheep,    Eastern region,2008,2430.0
Sheep,    Eastern region,2007,2396.0
Sheep,    Eastern region,2006,2158.0
Sheep,    Eastern region,2005,1948.2
Sheep,    Eastern region,2004,1817.7
Sheep,    Eastern region,2003,1788.5
Sheep,    Eastern region,2002,1773.6
Sheep,    Eastern region,2001,1781.8
Sheep,    Eastern region,2000,1844.4
Sheep,    Eastern region,1999,1799.8
Sheep,    Eastern region,1998,1617.6
Sheep,    Eastern region,1997,1445.5
Sheep,    Eastern region,1996,1341.1
Sheep,    Eastern region,1995,1336.0
Sheep,    Eastern region,1994,1527.2
Sheep,    Eastern region,1993,1482.1
Sheep,    Eastern region,1992,2012.3
Sheep,    Eastern region,1991,2107.8
Sheep,    Eastern region,1990,2214.3
Sheep,    Eastern region,1989,2146.8
Sheep,    Eastern region,1988,2035.0
Sheep,    Eastern region,1987,1963.5
Sheep,    Eastern region,1986,2033.6
Sheep,    Eastern region,1985,2092.5
Sheep,    Eastern region,1984,2128.4
Sheep,    Eastern region,1983,2193.7
Sheep,    Eastern region,1982,2416.3
Sheep,    Eastern region,1981,2486.6
Sheep,    Eastern region,1980,2302.4
Sheep,    Eastern region,1979,2448.0
Sheep,    Eastern region,1978,2369.8
Sheep,    Eastern region,1977,2194.8
Sheep,    Eastern region,1976,2220.2
Sheep,    Eastern region,1975,2353.3
Sheep,    Eastern region,1974,2359.4
Sheep,    Eastern region,1973,2270.3
Sheep,    Eastern region,1972,2185.7
Sheep,    Eastern region,1971,2147.9
Sheep,    Eastern region,1970,2201.3
Sheep,            Dornod,2024,1230.7
Sheep,            Dornod,2023,1514.5
Sheep,            Dornod,2022,1615.4
Sheep,            Dornod,2021,1470.2
Sheep,            Dornod,2020,1303.1
Sheep,            Dornod,2019,1262.4
Sheep,            Dornod,2018,1147.7
Sheep,            Dornod,2017,1001.6
Sheep,            Dornod,2016,831.4
Sheep,            Dornod,2015,745.3
Sheep,            Dornod,2014,673.3
Sheep,            Dornod,2013,593.0
Sheep,            Dornod,2012,584.8
Sheep,            Dornod,2011,555.4
Sheep,            Dornod,2010,550.8
Sheep,            Dornod,2009,704.1
Sheep,            Dornod,2008,688.6
Sheep,            Dornod,2007,611.4
Sheep,            Dornod,2006,527.3
Sheep,            Dornod,2005,469.9
Sheep,            Dornod,2004,424.0
Sheep,            Dornod,2003,406.9
Sheep,            Dornod,2002,418.5
Sheep,            Dornod,2001,425.7
Sheep,            Dornod,2000,438.5
Sheep,            Dornod,1999,432.1
Sheep,            Dornod,1998,385.2
Sheep,            Dornod,1997,343.6
Sheep,            Dornod,1996,314.0
Sheep,            Dornod,1995,319.4
Sheep,            Dornod,1994,376.3
Sheep,            Dornod,1993,443.3
Sheep,            Dornod,1992,529.8
Sheep,            Dornod,1991,617.5
Sheep,            Dornod,1990,661.2
Sheep,            Dornod,1989,652.9
Sheep,            Dornod,1988,638.3
Sheep,            Dornod,1987,631.2
Sheep,            Dornod,1986,624.9
Sheep,            Dornod,1985,673.9
Sheep,            Dornod,1984,672.5
Sheep,            Dornod,1983,729.8
Sheep,            Dornod,1982,825.0
Sheep,            Dornod,1981,838.5
Sheep,            Dornod,1980,760.7
Sheep,            Dornod,1979,801.8
Sheep,            Dornod,1978,785.5
Sheep,            Dornod,1977,714.5
Sheep,            Dornod,1976,724.6
Sheep,            Dornod,1975,780.1
Sheep,            Dornod,1974,767.8
Sheep,            Dornod,1973,738.1
Sheep,            Dornod,1972,707.0
Sheep,            Dornod,1971,737.2
Sheep,            Dornod,1970,726.6
Sheep,            Sukhbaatar,2024,861.4
Sheep,            Sukhbaatar,2023,2020.2
Sheep,            Sukhbaatar,2022,2410.0
Sheep,            Sukhbaatar,2021,2179.0
Sheep,            Sukhbaatar,2020,1993.9
Sheep,            Sukhbaatar,2019,1971.2
Sheep,            Sukhbaatar,2018,1922.1
Sheep,            Sukhbaatar,2017,1815.3
Sheep,            Sukhbaatar,2016,1542.2
Sheep,            Sukhbaatar,2015,1511.8
Sheep,            Sukhbaatar,2014,1380.8
Sheep,            Sukhbaatar,2013,1216.6
Sheep,            Sukhbaatar,2012,1090.8
Sheep,            Sukhbaatar,2011,992.0
Sheep,            Sukhbaatar,2010,961.2
Sheep,            Sukhbaatar,2009,853.7
Sheep,            Sukhbaatar,2008,733.1
Sheep,            Sukhbaatar,2007,776.3
Sheep,            Sukhbaatar,2006,750.8
Sheep,            Sukhbaatar,2005,696.0
Sheep,            Sukhbaatar,2004,706.4
Sheep,            Sukhbaatar,2003,722.5
Sheep,            Sukhbaatar,2002,711.0
Sheep,            Sukhbaatar,2001,708.0
Sheep,            Sukhbaatar,2000,717.3
Sheep,            Sukhbaatar,1999,689.8
Sheep,            Sukhbaatar,1998,605.6
Sheep,            Sukhbaatar,1997,534.2
Sheep,            Sukhbaatar,1996,499.7
Sheep,            Sukhbaatar,1995,496.4
Sheep,            Sukhbaatar,1994,586.3
Sheep,            Sukhbaatar,1993,371.2
Sheep,            Sukhbaatar,1992,657.3
Sheep,            Sukhbaatar,1991,624.5
Sheep,            Sukhbaatar,1990,602.9
Sheep,            Sukhbaatar,1989,592.0
Sheep,            Sukhbaatar,1988,572.8
Sheep,            Sukhbaatar,1987,542.6
Sheep,            Sukhbaatar,1986,624.9
Sheep,            Sukhbaatar,1985,634.8
Sheep,            Sukhbaatar,1984,627.5
Sheep,            Sukhbaatar,1983,592.3
Sheep,            Sukhbaatar,1982,654.3
Sheep,            Sukhbaatar,1981,714.5
Sheep,            Sukhbaatar,1980,678.6
Sheep,            Sukhbaatar,1979,733.9
Sheep,            Sukhbaatar,1978,704.7
Sheep,            Sukhbaatar,1977,691.8
Sheep,            Sukhbaatar,1976,657.4
Sheep,            Sukhbaatar,1975,678.2
Sheep,            Sukhbaatar,1974,692.7
Sheep,            Sukhbaatar,1973,684.0
Sheep,            Sukhbaatar,1972,627.1
Sheep,            Sukhbaatar,1971,565.5
Sheep,            Sukhbaatar,1970,636.8
Sheep,            Khentii,2024,1476.3
Sheep,            Khentii,2023,2266.5
Sheep,            Khentii,2022,2610.8
Sheep,            Khentii,2021,2546.5
Sheep,            Khentii,2020,2344.7
Sheep,            Khentii,2019,2454.9
Sheep,            Khentii,2018,2353.5
Sheep,            Khentii,2017,2212.5
Sheep,            Khentii,2016,1938.1
Sheep,            Khentii,2015,1738.7
Sheep,            Khentii,2014,1599.3
Sheep,            Khentii,2013,1408.7
Sheep,            Khentii,2012,1277.7
Sheep,            Khentii,2011,1146.5
Sheep,            Khentii,2010,1068.3
Sheep,            Khentii,2009,1085.7
Sheep,            Khentii,2008,1008.2
Sheep,            Khentii,2007,1008.3
Sheep,            Khentii,2006,879.9
Sheep,            Khentii,2005,782.3
Sheep,            Khentii,2004,687.3
Sheep,            Khentii,2003,659.1
Sheep,            Khentii,2002,644.1
Sheep,            Khentii,2001,648.0
Sheep,            Khentii,2000,688.6
Sheep,            Khentii,1999,678.0
Sheep,            Khentii,1998,626.9
Sheep,            Khentii,1997,567.7
Sheep,            Khentii,1996,527.5
Sheep,            Khentii,1995,520.3
Sheep,            Khentii,1994,564.7
Sheep,            Khentii,1993,667.6
Sheep,            Khentii,1992,825.3
Sheep,            Khentii,1991,865.8
Sheep,            Khentii,1990,950.2
Sheep,            Khentii,1989,901.8
Sheep,            Khentii,1988,823.9
Sheep,            Khentii,1987,789.7
Sheep,            Khentii,1986,783.8
Sheep,            Khentii,1985,783.8
Sheep,            Khentii,1984,828.4
Sheep,            Khentii,1983,871.6
Sheep,            Khentii,1982,937.1
Sheep,            Khentii,1981,933.6
Sheep,            Khentii,1980,863.1
Sheep,            Khentii,1979,912.3
Sheep,            Khentii,1978,879.6
Sheep,            Khentii,1977,788.5
Sheep,            Khentii,1976,838.3
Sheep,            Khentii,1975,894.9
Sheep,            Khentii,1974,898.9
Sheep,            Khentii,1973,848.2
Sheep,            Khentii,1972,851.7
Sheep,            Khentii,1971,845.2
Sheep,            Khentii,1970,837.9
Sheep,    Govi region,2024,2839.4
Sheep,    Govi region,2023,3532.7
Sheep,    Govi region,2022,3881.0
Sheep,    Govi region,2021,3538.0
Sheep,    Govi region,2020,3761.9
Sheep,    Govi region,2019,3902.1
Sheep,    Govi region,2018,3596.7
Sheep,    Govi region,2017,3366.9
Sheep,    Govi region,2016,2902.3
Sheep,    Govi region,2015,2633.7
Sheep,    Govi region,2014,2355.5
Sheep,    Govi region,2013,2006.0
Sheep,    Govi region,2012,1706.5
Sheep,    Govi region,2011,1437.2
Sheep,    Govi region,2010,1229.0
Sheep,    Govi region,2009,1827.8
Sheep,    Govi region,2008,1687.6
Sheep,    Govi region,2007,1625.9
Sheep,    Govi region,2006,1470.2
Sheep,    Govi region,2005,1497.7
Sheep,    Govi region,2004,1448.2
Sheep,    Govi region,2003,1322.0
Sheep,    Govi region,2002,1286.3
Sheep,    Govi region,2001,1392.1
Sheep,    Govi region,2000,1574.0
Sheep,    Govi region,1999,1952.0
Sheep,    Govi region,1998,1905.0
Sheep,    Govi region,1997,1781.0
Sheep,    Govi region,1996,1680.4
Sheep,    Govi region,1995,1619.7
Sheep,    Govi region,1994,1547.2
Sheep,    Govi region,1993,1566.4
Sheep,    Govi region,1992,1684.8
Sheep,    Govi region,1991,1692.9
Sheep,    Govi region,1990,1623.9
Sheep,    Govi region,1989,1565.4
Sheep,    Govi region,1988,1425.9
Sheep,    Govi region,1987,1425.0
Sheep,    Govi region,1986,1478.8
Sheep,    Govi region,1985,1470.7
Sheep,    Govi region,1984,1500.8
Sheep,    Govi region,1983,1537.0
Sheep,    Govi region,1982,1592.8
Sheep,    Govi region,1981,1516.4
Sheep,    Govi region,1980,1492.8
Sheep,    Govi region,1979,1587.0
Sheep,    Govi region,1978,1592.2
Sheep,    Govi region,1977,1495.9
Sheep,    Govi region,1976,1593.9
Sheep,    Govi region,1975,1548.2
Sheep,    Govi region,1974,1544.2
Sheep,    Govi region,1973,1439.5
Sheep,    Govi region,1972,1425.8
Sheep,    Govi region,1971,1333.3
Sheep,    Govi region,1970,1415.2
Sheep,            Govisumber,2024,131.3
Sheep,            Govisumber,2023,227.8
Sheep,            Govisumber,2022,236.0
Sheep,            Govisumber,2021,219.4
Sheep,            Govisumber,2020,218.4
Sheep,            Govisumber,2019,219.5
Sheep,            Govisumber,2018,208.1
Sheep,            Govisumber,2017,205.2
Sheep,            Govisumber,2016,185.9
Sheep,            Govisumber,2015,169.1
Sheep,            Govisumber,2014,152.3
Sheep,            Govisumber,2013,121.0
Sheep,            Govisumber,2012,99.4
Sheep,            Govisumber,2011,79.0
Sheep,            Govisumber,2010,65.2
Sheep,            Govisumber,2009,69.7
Sheep,            Govisumber,2008,66.5
Sheep,            Govisumber,2007,74.2
Sheep,            Govisumber,2006,68.9
Sheep,            Govisumber,2005,59.2
Sheep,            Govisumber,2004,48.7
Sheep,            Govisumber,2003,40.0
Sheep,            Govisumber,2002,32.7
Sheep,            Govisumber,2001,29.1
Sheep,            Govisumber,2000,51.3
Sheep,            Govisumber,1999,64.1
Sheep,            Govisumber,1998,66.7
Sheep,            Govisumber,1997,60.0
Sheep,            Govisumber,1996,59.9
Sheep,            Govisumber,1995,58.6
Sheep,            Govisumber,1994,61.4
Sheep,            Govisumber,1993,71.8
Sheep,            Govisumber,1992,70.7
Sheep,            Govisumber,1991,67.8
Sheep,            Govisumber,1990,
Sheep,            Govisumber,1989,
Sheep,            Govisumber,1988,
Sheep,            Govisumber,1987,
Sheep,            Govisumber,1986,
Sheep,            Govisumber,1985,
Sheep,            Govisumber,1984,
Sheep,            Govisumber,1983,
Sheep,            Govisumber,1982,
Sheep,            Govisumber,1981,
Sheep,            Govisumber,1980,
Sheep,            Govisumber,1979,
Sheep,            Govisumber,1978,
Sheep,            Govisumber,1977,
Sheep,            Govisumber,1976,
Sheep,            Govisumber,1975,
Sheep,            Govisumber,1974,
Sheep,            Govisumber,1973,
Sheep,            Govisumber,1972,
Sheep,            Govisumber,1971,
Sheep,            Govisumber,1970,
Sheep,            Dornogovi,2024,554.8
Sheep,            Dornogovi,2023,997.7
Sheep,            Dornogovi,2022,1245.1
Sheep,            Dornogovi,2021,1158.5
Sheep,            Dornogovi,2020,1069.7
Sheep,            Dornogovi,2019,1021.6
Sheep,            Dornogovi,2018,926.2
Sheep,            Dornogovi,2017,861.5
Sheep,            Dornogovi,2016,758.4
Sheep,            Dornogovi,2015,751.4
Sheep,            Dornogovi,2014,690.7
Sheep,            Dornogovi,2013,611.9
Sheep,            Dornogovi,2012,531.5
Sheep,            Dornogovi,2011,477.3
Sheep,            Dornogovi,2010,421.3
Sheep,            Dornogovi,2009,408.7
Sheep,            Dornogovi,2008,352.0
Sheep,            Dornogovi,2007,310.9
Sheep,            Dornogovi,2006,281.8
Sheep,            Dornogovi,2005,372.5
Sheep,            Dornogovi,2004,381.9
Sheep,            Dornogovi,2003,355.1
Sheep,            Dornogovi,2002,340.4
Sheep,            Dornogovi,2001,365.6
Sheep,            Dornogovi,2000,453.9
Sheep,            Dornogovi,1999,477.4
Sheep,            Dornogovi,1998,439.6
Sheep,            Dornogovi,1997,415.0
Sheep,            Dornogovi,1996,411.4
Sheep,            Dornogovi,1995,409.1
Sheep,            Dornogovi,1994,406.5
Sheep,            Dornogovi,1993,430.0
Sheep,            Dornogovi,1992,467.8
Sheep,            Dornogovi,1991,486.7
Sheep,            Dornogovi,1990,538.2
Sheep,            Dornogovi,1989,525.9
Sheep,            Dornogovi,1988,488.1
Sheep,            Dornogovi,1987,488.0
Sheep,            Dornogovi,1986,496.0
Sheep,            Dornogovi,1985,492.3
Sheep,            Dornogovi,1984,486.5
Sheep,            Dornogovi,1983,478.2
Sheep,            Dornogovi,1982,509.2
Sheep,            Dornogovi,1981,480.2
Sheep,            Dornogovi,1980,465.5
Sheep,            Dornogovi,1979,472.4
Sheep,            Dornogovi,1978,463.8
Sheep,            Dornogovi,1977,441.5
Sheep,            Dornogovi,1976,484.5
Sheep,            Dornogovi,1975,485.0
Sheep,            Dornogovi,1974,485.9
Sheep,            Dornogovi,1973,451.8
Sheep,            Dornogovi,1972,439.7
Sheep,            Dornogovi,1971,421.5
Sheep,            Dornogovi,1970,409.4
Sheep,            Dundgovi,2024,1611.8
Sheep,            Dundgovi,2023,1759.9
Sheep,            Dundgovi,2022,1724.2
Sheep,            Dundgovi,2021,1533.4
Sheep,            Dundgovi,2020,1791.2
Sheep,            Dundgovi,2019,1942.7
Sheep,            Dundgovi,2018,1831.1
Sheep,            Dundgovi,2017,1686.2
Sheep,            Dundgovi,2016,1437.1
Sheep,            Dundgovi,2015,1266.2
Sheep,            Dundgovi,2014,1114.8
Sheep,            Dundgovi,2013,922.3
Sheep,            Dundgovi,2012,775.8
Sheep,            Dundgovi,2011,623.5
Sheep,            Dundgovi,2010,529.7
Sheep,            Dundgovi,2009,973.8
Sheep,            Dundgovi,2008,917.9
Sheep,            Dundgovi,2007,944.3
Sheep,            Dundgovi,2006,867.1
Sheep,            Dundgovi,2005,819.7
Sheep,            Dundgovi,2004,787.0
Sheep,            Dundgovi,2003,724.0
Sheep,            Dundgovi,2002,685.6
Sheep,            Dundgovi,2001,685.0
Sheep,            Dundgovi,2000,663.8
Sheep,            Dundgovi,1999,966.5
Sheep,            Dundgovi,1998,971.5
Sheep,            Dundgovi,1997,901.4
Sheep,            Dundgovi,1996,842.1
Sheep,            Dundgovi,1995,810.9
Sheep,            Dundgovi,1994,769.7
Sheep,            Dundgovi,1993,785.8
Sheep,            Dundgovi,1992,859.5
Sheep,            Dundgovi,1991,841.9
Sheep,            Dundgovi,1990,801.3
Sheep,            Dundgovi,1989,744.7
Sheep,            Dundgovi,1988,655.1
Sheep,            Dundgovi,1987,662.5
Sheep,            Dundgovi,1986,720.5
Sheep,            Dundgovi,1985,711.6
Sheep,            Dundgovi,1984,711.2
Sheep,            Dundgovi,1983,778.7
Sheep,            Dundgovi,1982,775.2
Sheep,            Dundgovi,1981,730.4
Sheep,            Dundgovi,1980,734.1
Sheep,            Dundgovi,1979,782.1
Sheep,            Dundgovi,1978,788.2
Sheep,            Dundgovi,1977,726.2
Sheep,            Dundgovi,1976,789.1
Sheep,            Dundgovi,1975,756.0
Sheep,            Dundgovi,1974,776.3
Sheep,            Dundgovi,1973,732.2
Sheep,            Dundgovi,1972,707.1
Sheep,            Dundgovi,1971,635.5
Sheep,            Dundgovi,1970,709.0
Sheep,            Umnugovi,2024,541.5
Sheep,            Umnugovi,2023,547.3
Sheep,            Umnugovi,2022,675.7
Sheep,            Umnugovi,2021,626.7
Sheep,            Umnugovi,2020,682.6
Sheep,            Umnugovi,2019,718.2
Sheep,            Umnugovi,2018,631.4
Sheep,            Umnugovi,2017,614.0
Sheep,            Umnugovi,2016,520.9
Sheep,            Umnugovi,2015,447.0
Sheep,            Umnugovi,2014,397.6
Sheep,            Umnugovi,2013,350.8
Sheep,            Umnugovi,2012,299.8
Sheep,            Umnugovi,2011,257.4
Sheep,            Umnugovi,2010,212.8
Sheep,            Umnugovi,2009,375.7
Sheep,            Umnugovi,2008,351.2
Sheep,            Umnugovi,2007,296.5
Sheep,            Umnugovi,2006,252.4
Sheep,            Umnugovi,2005,246.4
Sheep,            Umnugovi,2004,230.6
Sheep,            Umnugovi,2003,202.8
Sheep,            Umnugovi,2002,227.7
Sheep,            Umnugovi,2001,312.4
Sheep,            Umnugovi,2000,405.1
Sheep,            Umnugovi,1999,444.0
Sheep,            Umnugovi,1998,427.2
Sheep,            Umnugovi,1997,404.5
Sheep,            Umnugovi,1996,367.0
Sheep,            Umnugovi,1995,341.1
Sheep,            Umnugovi,1994,309.6
Sheep,            Umnugovi,1993,278.8
Sheep,            Umnugovi,1992,286.8
Sheep,            Umnugovi,1991,296.5
Sheep,            Umnugovi,1990,284.4
Sheep,            Umnugovi,1989,294.7
Sheep,            Umnugovi,1988,282.7
Sheep,            Umnugovi,1987,274.5
Sheep,            Umnugovi,1986,262.3
Sheep,            Umnugovi,1985,266.8
Sheep,            Umnugovi,1984,303.1
Sheep,            Umnugovi,1983,280.1
Sheep,            Umnugovi,1982,308.4
Sheep,            Umnugovi,1981,305.9
Sheep,            Umnugovi,1980,293.3
Sheep,            Umnugovi,1979,332.5
Sheep,            Umnugovi,1978,340.2
Sheep,            Umnugovi,1977,328.1
Sheep,            Umnugovi,1976,320.2
Sheep,            Umnugovi,1975,307.2
Sheep,            Umnugovi,1974,281.9
Sheep,            Umnugovi,1973,255.5
Sheep,            Umnugovi,1972,279.1
Sheep,            Umnugovi,1971,276.3
Sheep,            Umnugovi,1970,296.8
Sheep,    Ulaanbaatar,2024,133.4
Sheep,    Ulaanbaatar,2023,155.6
Sheep,    Ulaanbaatar,2022,164.3
Sheep,    Ulaanbaatar,2021,169.0
Sheep,    Ulaanbaatar,2020,174.9
Sheep,    Ulaanbaatar,2019,176.7
Sheep,    Ulaanbaatar,2018,166.3
Sheep,    Ulaanbaatar,2017,170.2
Sheep,    Ulaanbaatar,2016,176.8
Sheep,    Ulaanbaatar,2015,162.3
Sheep,    Ulaanbaatar,2014,158.9
Sheep,    Ulaanbaatar,2013,134.6
Sheep,    Ulaanbaatar,2012,124.7
Sheep,    Ulaanbaatar,2011,105.8
Sheep,    Ulaanbaatar,2010,101.6
Sheep,    Ulaanbaatar,2009,167.9
Sheep,    Ulaanbaatar,2008,154.5
Sheep,    Ulaanbaatar,2007,128.7
Sheep,    Ulaanbaatar,2006,129.0
Sheep,    Ulaanbaatar,2005,94.2
Sheep,    Ulaanbaatar,2004,85.3
Sheep,    Ulaanbaatar,2003,96.8
Sheep,    Ulaanbaatar,2002,94.2
Sheep,    Ulaanbaatar,2001,94.8
Sheep,    Ulaanbaatar,2000,102.8
Sheep,    Ulaanbaatar,1999,109.7
Sheep,    Ulaanbaatar,1998,142.5
Sheep,    Ulaanbaatar,1997,145.1
Sheep,    Ulaanbaatar,1996,149.0
Sheep,    Ulaanbaatar,1995,145.2
Sheep,    Ulaanbaatar,1994,132.6
Sheep,    Ulaanbaatar,1993,144.8
Sheep,    Ulaanbaatar,1992,147.8
Sheep,    Ulaanbaatar,1991,104.1
Sheep,    Ulaanbaatar,1990,65.8
Sheep,    Ulaanbaatar,1989,50.9
Sheep,    Ulaanbaatar,1988,40.2
Sheep,    Ulaanbaatar,1987,36.7
