Type of livestock,Region,Year,value
Total,    Northern region,1989,2789.0
Total,    Northern region,1988,2665.8
Total,    Northern region,1987,2595.1
Total,    Northern region,1986,2624.1
Total,    Northern region,1985,2719.0
Total,    Northern region,1984,2785.6
Total,    Northern region,1983,2776.2
Total,    Northern region,1982,2760.4
Total,    Northern region,1981,2650.9
Total,    Northern region,1980,2546.6
Total,    Northern region,1979,2522.9
Total,    Northern region,1978,2500.7
Total,    Northern region,1977,2343.9
Total,    Northern region,1976,2444.8
Total,    Northern region,1975,2635.4
Total,    Northern region,1974,2687.6
Total,    Northern region,1973,2561.3
Total,    Northern region,1972,2546.4
Total,    Northern region,1971,2554.8
Total,    Northern region,1970,2505.6
Total,            Bulgan,2024,3038.7
Total,            Bulgan,2023,3622.9
Total,            Bulgan,2022,3892.8
Total,            Bulgan,2021,3622.3
Total,            Bulgan,2020,3396.0
Total,            Bulgan,2019,3641.7
Total,            Bulgan,2018,3305.5
Total,            Bulgan,2017,3361.6
Total,            Bulgan,2016,3485.6
Total,            Bulgan,2015,3223.8
Total,            Bulgan,2014,3132.8
Total,            Bulgan,2013,2757.2
Total,            Bulgan,2012,2578.6
Total,            Bulgan,2011,2340.8
Total,            Bulgan,2010,2293.2
Total,            Bulgan,2009,2611.7
Total,            Bulgan,2008,2414.2
Total,            Bulgan,2007,2008.2
Total,            Bulgan,2006,1672.5
Total,            Bulgan,2005,1399.3
Total,            Bulgan,2004,1213.2
Total,            Bulgan,2003,1107.9
Total,            Bulgan,2002,1387.7
Total,            Bulgan,2001,1457.6
Total,            Bulgan,2000,1522.8
Total,            Bulgan,1999,1609.3
Total,            Bulgan,1998,1458.9
Total,            Bulgan,1997,1309.8
Total,            Bulgan,1996,1202.6
Total,            Bulgan,1995,1137.1
Total,            Bulgan,1994,1078.8
Total,            Bulgan,1993,1036.9
Total,            Bulgan,1992,1066.1
Total,            Bulgan,1991,1021.2
Total,            Bulgan,1990,998.2
Total,            Bulgan,1989,943.0
Total,            Bulgan,1988,889.4
Total,            Bulgan,1987,846.6
Total,            Bulgan,1986,872.3
Total,            Bulgan,1985,934.6
Total,            Bulgan,1984,983.7
Total,            Bulgan,1983,992.6
Total,            Bulgan,1982,1007.0
Total,            Bulgan,1981,962.0
Total,            Bulgan,1980,937.3
Total,            Bulgan,1979,926.8
Total,            Bulgan,1978,926.8
Total,            Bulgan,1977,869.9
Total,            Bulgan,1976,948.0
Total,            Bulgan,1975,1012.8
Total,            Bulgan,1974,1011.5
Total,            Bulgan,1973,980.5
Total,            Bulgan,1972,958.6
Total,            Bulgan,1971,947.0
Total,            Bulgan,1970,906.0
Total,            Orkhon,2024,175.8
Total,            Orkhon,2023,175.3
Total,            Orkhon,2022,169.9
Total,            Orkhon,2021,154.6
Total,            Orkhon,2020,137.0
Total,            Orkhon,2019,126.9
Total,            Orkhon,2018,114.4
Total,            Orkhon,2017,122.3
Total,            Orkhon,2016,134.2
Total,            Orkhon,2015,119.8
Total,            Orkhon,2014,123.2
Total,            Orkhon,2013,179.0
Total,            Orkhon,2012,184.5
Total,            Orkhon,2011,168.3
Total,            Orkhon,2010,169.2
Total,            Orkhon,2009,256.2
Total,            Orkhon,2008,268.9
Total,            Orkhon,2007,210.0
Total,            Orkhon,2006,174.4
Total,            Orkhon,2005,137.3
Total,            Orkhon,2004,115.2
Total,            Orkhon,2003,107.9
Total,            Orkhon,2002,159.7
Total,            Orkhon,2001,168.9
Total,            Orkhon,2000,168.5
Total,            Orkhon,1999,163.9
Total,            Orkhon,1998,132.3
Total,            Orkhon,1997,120.3
Total,            Orkhon,1996,123.1
Total,            Orkhon,1995,127.3
Total,            Orkhon,1994,110.9
Total,            Orkhon,1993,105.7
Total,            Orkhon,1992,92.1
Total,            Orkhon,1991,73.0
Total,            Orkhon,1990,53.5
Total,            Orkhon,1989,43.1
Total,            Orkhon,1988,36.3
Total,            Orkhon,1987,30.1
Total,            Orkhon,1986,26.0
Total,            Orkhon,1985,26.0
Total,            Orkhon,1984,24.0
Total,            Orkhon,1983,22.0
Total,            Orkhon,1982,19.2
Total,            Orkhon,1981,13.9
Total,            Orkhon,1980,8.8
Total,            Orkhon,1979,
Total,            Orkhon,1978,6.7
Total,            Orkhon,1977,5.7
